Date : 2023-02-09 19:38:52
Directory : c:\Users\sidc2\please be nice
Total : 144 files,  65328 codes, 1277 comments, 2305 blanks, all 68910 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| XML       |         60 |     49,354 |        420 |         60 |     49,834 |
| Log       |          7 |      8,019 |          0 |        156 |      8,175 |
| C#        |         56 |      4,646 |        774 |      1,409 |      6,829 |
| ShaderLab |         13 |      2,015 |         61 |        557 |      2,633 |
| JSON      |          3 |        731 |          0 |          4 |        735 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
| HTML      |          1 |        240 |          1 |         32 |        273 |
+-----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        144 |     65,328 |      1,277 |      2,305 |     68,910 |
| . (Files)                                                                                               |         61 |     49,594 |        421 |         92 |     50,107 |
| Assets                                                                                                  |         74 |      7,139 |        856 |      2,055 |     10,050 |
| Assets\Scripts                                                                                          |         22 |      1,637 |         12 |        216 |      1,865 |
| Assets\Scripts\Inventory                                                                                |          5 |        354 |          4 |         44 |        402 |
| Assets\Scripts\Mobs                                                                                     |          3 |        146 |          0 |         15 |        161 |
| Assets\Scripts\NPCs                                                                                     |          1 |        128 |          0 |         14 |        142 |
| Assets\Scripts\Player                                                                                   |          2 |        200 |          1 |         29 |        230 |
| Assets\Scripts\Tile Properties                                                                          |          2 |         67 |          1 |         14 |         82 |
| Assets\Scripts\Utilities                                                                                |          3 |        179 |          0 |         22 |        201 |
| Assets\Scripts\World                                                                                    |          6 |        563 |          6 |         78 |        647 |
| Assets\TextMesh Pro                                                                                     |         52 |      5,502 |        844 |      1,839 |      8,185 |
| Assets\TextMesh Pro\Examples & Extras                                                                   |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Examples & Extras\Scripts                                                           |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Shaders                                                                             |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                             |          1 |        155 |          0 |          2 |        157 |
| Logs                                                                                                    |          7 |      8,019 |          0 |        156 |      8,175 |
| Packages                                                                                                |          2 |        576 |          0 |          2 |        578 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                | language  | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Users\sidc2\please be nice\Assembly-CSharp.csproj                                                    | XML       |        924 |          7 |          1 |        932 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Inventory\CraftingManager.cs                               | C#        |        101 |          1 |          6 |        108 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Inventory\InventoryItem.cs                                 | C#        |         48 |          0 |          6 |         54 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Inventory\InventoryManager.cs                              | C#        |        113 |          3 |         17 |        133 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Inventory\InventorySlot.cs                                 | C#        |         45 |          0 |          5 |         50 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Inventory\Item.cs                                          | C#        |         47 |          0 |         10 |         57 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Mobs\Beetle.cs                                             | C#        |        130 |          0 |         12 |        142 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Mobs\IFriendlyMob.cs                                       | C#        |          7 |          0 |          2 |          9 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Mobs\IHostileMob.cs                                        | C#        |          9 |          0 |          1 |         10 |
| c:\Users\sidc2\please be nice\Assets\Scripts\NPCs\NPC_OLD_MAN.cs                                        | C#        |        128 |          0 |         14 |        142 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Player\Crosshair.cs                                        | C#        |         24 |          0 |          5 |         29 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Player\PlayerMovement.cs                                   | C#        |        176 |          1 |         24 |        201 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Tile Properties\ConstraintProp.cs                          | C#        |         34 |          1 |          9 |         44 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Tile Properties\WaterProp.cs                               | C#        |         33 |          0 |          5 |         38 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Utilities\DialogueManager.cs                               | C#        |         68 |          0 |          5 |         73 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Utilities\ExtensionMethods.cs                              | C#        |         82 |          0 |         14 |         96 |
| c:\Users\sidc2\please be nice\Assets\Scripts\Utilities\Minimap.cs                                       | C#        |         29 |          0 |          3 |         32 |
| c:\Users\sidc2\please be nice\Assets\Scripts\World\CreateNPCBarrier.cs                                  | C#        |         50 |          0 |          6 |         56 |
| c:\Users\sidc2\please be nice\Assets\Scripts\World\DayCycle.cs                                          | C#        |         78 |          0 |          9 |         87 |
| c:\Users\sidc2\please be nice\Assets\Scripts\World\Door.cs                                              | C#        |         77 |          0 |          2 |         79 |
